name,city,neighborhood,summary
White Gold Butchers,New York,Upper West Side,In this restaurant inside a butcher shop the menu gets right to the point no small talk. The main courses fall under the heading Plates. There are usually four of them grilled very simply for dinner. For lunch the focus is on savory pastries like pasties and stubby little sausage rolls.
The Gumbo Bros,Brooklyn,Boerum Hill,The chef Adam Lathan grew up on the Gulf Coast of Alabama in Creole country; his business partner Clay Boulware comes from Cajun central Louisiana. They reunited in New York a few years ago to redress the cityÍ¢‘„‘s scarcity of gumbo.
ChumleyÍ¢‘„‘s,New York,West Village,At the address of a famous former speakeasy is a restaurant that has nothing in common with the original except a name a door an archway and framed photographs of and jackets of books by writers who used to drink there. The old regulars would have taken one look at the new menu and called for another shot but the cooking is exciting; some of it even resembles bar food.
F.O.B.,Brooklyn,Carroll Gardens,The chef Armando Litiatco was born in the Philippines and grew up in Daly City Calif. which has the countryÍ¢‘„‘s highest concentration of people of Filipino descent. Here he serves delicate versions of classic Filipino dishes in a gracious dining room with roomy chairs and light bulbs that rest like cockatoos in wrought-iron bird-cage lanterns. Food comes on grandmotherly mismatched china; family members beam from framed photos.
Fowler &amp; Wells,New York,Financial District,Tom Colicchio the chef and owner tries to bring some Gilded Age exuberance to this restaurant in a restored 1883 building. Many of the components including the cocktails wine list and desserts are excellent. But in the menu and the dÍ—‘©cor the central vision is fuzzy and the restaurant is somehow less than the sum of its parts.
Lhasa Fast Food,Queens,Jackson Heights,Once Lhasa Fast Food was just a counter at the back of a cellphone store; now it has its own door at the end of a narrow corridor flanked by jewelers. For some diners the more tortuous the journey the more miraculous the meal. But the cooking here Í¢‘„‘î cauldrons of dusky broths heavy with hand-torn scraps of dough and humming with Sichuan peppercorns; momos looking ready to burst their pleats Í¢‘„‘î would be worth seeking out even if it were served in a sleek food hall in Midtown Manhattan.
Ichiran,Brooklyn,Bushwick,Ichiran a Japanese ramen chain makes one kind of soup the opaque ivory pork broth called tonkotsu. But it presents a boggling number of choices starting with whether to sit at a table or in one of the Í¢‘„‘ñflavor concentration booths.\u201d
Very Fresh Noodles,New York,Chelsea,Í¢‘„‘ñBiang biang\u201d is both the name of the noodles stretched to order at this cramped corner stall in Chelsea Market Í¢‘„‘î straps of dough as wide as a belt drawn out to the wingspan of their maker Í¢‘„‘î and the sound of them snapping against the counter. TheyÍ¢‘„‘re at once elastic and dense and too long to fish out of the soup whole; you must pray a little bowing your head to eat. Too bad thereÍ¢‘„‘s nowhere to sit. Smart diners come early and grab one of the two windowsills although eating is still a precarious business.
Flora Bar,New York City,Upper East Side,Flora Bar inside the Met Breuer is less a restaurant than a wine bar with small tidily formal plates and a drinks list as exhaustive as any artistÍ¢‘„‘s career retrospective.
Karu CafÍ—‘©,Queens,Woodside,In this unassuming storefront two chefs cook side by side one from Paraguay the other from Venezuela: harmony between otherwise quarreling nations. Venezuelan arepas airy corn cakes barely a fingerÍ¢‘„‘s width thick may share the table with Paraguayan chipas dense bulging curls of cassava flour and cornmeal fattened by cheese eggs milk and butter and tasting like gougÍ—‘Îres after a gravitational collapse. Karu means Í¢‘„‘ñto eat\u201d in GuaranÍ—‘_ the indigenous language written into ParaguayÍ¢‘„‘s Constitution as equal to Spanish defying the legacy of the conquistadors.
Locol,Bronx,Oakland,The chefs Daniel Patterson and Roy Choi are trying to do so many things with their insurgent fast-food chain Locol that it almost has to fall short somewhere. What is surprising though is that they would have so much trouble with the food.
The Odeon,New York,TriBeCa,The kitchen retrenched years ago to a comfortably broken-in lineup of French and American standards. Cooking like this is sometimes called comfort food but a better word for the menu and everything else about the Odeon is restorative.
Cut by Wolfgang Puck,99 Church Street,Financial District,Wolfgang PuckÍ¢‘„‘s hotel steakhouse his first venture in Manhattan felt dated as soon as it opened. The steaks are excellent; other dishes are appealing if a little unfocused and the interior design appears to have been lost in the mail for a decade or so.
Pata Cafe,Queens,Elmhurst,At this offshoot of the Thai bar Pata Paplean a tree climbs from the floor through the ceiling. ItÍ¢‘„‘s as if youÍ¢‘„‘d popped through a trap door into a secret clubhouse. Sunisa Nitmai a native of Isan ThailandÍ¢‘„‘s northeast cooks as she would at home: plain-spoken Thai dishes none over $10 that taste of gestures timeworn but never taken for granted and of honest pleasure in what a handful of ingredients can do.
Aska,Brooklyn,Williamsburg,Over the past several years few chefs have grown into their ambitions as dramatically and successfully as AskaÍ¢‘„‘s Fredrik Berselius. Aska beneath the ribs of the Williamsburg Bridge in July is his third restaurant; with each fresh incarnation his modern Scandinavian nature-boy cooking has taken a leap forward.
MaLa Project,New York,East Village,Rooster testicles artery tendon gizzard kidney tongue and heart Í¢‘„‘î all the hidden animal corners that other civilizations treasure but tend to make ours nervous Í¢‘„‘î appear at this modern Chinese restaurant part of an inventory of some sixty-odd potential ingredients for Sichuan dry pot. Unlike with traditional Sichuan hot pot here the chef unseen flips your chosen items in a wok with a philter of chile and spice. They materialize before you in a woven wooden bowl like a dangerous salad. Four levels of Í¢‘„‘ñspiciness\u201d are on offer; even a veteran fire-eater neednÍ¢‘„‘t go past three.
Bad Saint,Washington D.C.,Washington D.C.,Bad Saint was built to make the best of its scarce square footage not to handle the pressure of being one of WashingtonÍ¢‘„‘s most sought-after restaurants. Now it has to do both because the food prepared under columns of wok smoke is richly compelling no matter how many prior run-ins youÍ¢‘„‘ve had with Filipino food.
Mumbai Xpress,Queens,Floral Park,Other places in town serve chaat a vast genre of Indian snacks fueled by salt and tang but perhaps none with the same range and single-minded devotion. Hina Shah the chef opened Mumbai Xpress with her husband Mahendra after relatives and friends insisted that her cooking was too good to keep in her home kitchen. The menu is proof for their argument with vivid offerings that hark back to the chaatwallahs of Chowpatty Beach and Breach Candy in Mumbai and testify to the wisdom of a culture that respects snacks makes them by hand and gives them nuance layers and colliding flavors.
Alimentos Saludables,Brooklyn,Sunset Park,This Mexican diner serves some of the best tamales in town slapped on a paper plate and trussed in corn husks still damp with steam. Unshucked they seem almost to breathe. The dough is soft and marbled with sauce so that a little finds its way into every bite. ConcepciÍ—‘_n Gonzalez the chef who started out selling tamales in front of a nearby church is an efficient motherly presence. A statue of baby Jesus in gold robes gazes pacifically from a glass case; HÍ—‘©ctor Acosta might be singing merengue on the jukebox. The menu lists five varieties of tamales most of which will be sold out by dinnertime so come early.
Fish Cheeks,New York,NoHo,Specializing in a small number of seafood dishes from around Thailand Fish Cheeks is not a groundbreaking experiment; it simply cooks the way more Thai kitchens should.
Thursday Kitchen,New York,East Village,Thursday Kitchen has more interesting cooking than you might expect from a restaurant that serves illuminated cocktails in plastic bags like debauched Capri Suns. Kyungmin Kay Hyun the chef a native of South Korea ferments her own ponzu for 30 days to accompany her exemplary pajeon (scallion pancake); pairs charred octopus with a chardonnay gelÍ—‘©e and a Korean barbecue-like tincture of soy scallions and Asian pear; and tempers crispy pork belly with white kimchi so called because itÍ¢‘„‘s made without chile privileging funk over heat.
TsuruTonTan Udon Noodle Brasserie,New York,Union Square,ItÍ¢‘„‘s now easier to find a ramen shop in Manhattan than a mailbox but udon specialists are rare. TsuruTonTan may be the only one that mixes kneads rolls and cuts the dough for these long pale wheat noodles in its own kitchen.
Paowalla,New York,SoHo,Reaching into his back catalog the chef Floyd Cardoz is serving some dishes and even a couple of cocktails like the mind-clearing cucumber-gin highball called the Kachumber Cooler that are flashbacks to the much-missed Tabla and Bread Bar.
VioletÍ¢‘„‘s Bake Shoppe,Queens,Forest Hills,At this Chinese bakery with a sideline in Vietnamese banh mi the ratios Í¢‘„‘î of bread to charcuterie (almost all made in-house) to pickles to condiments Í¢‘„‘î are golden. The bread is a cloud in crisp armor with a crust that snaps like kindling and then the sandwich is all creaminess salt and heat deeply basal flavors and brisk bright ones every note seemingly struck at once.
Divine Flavored Nigerian Food Truck,New York,Midtown East,Godshelter Oluwalogbon the chef behind this Nigerian food truck with bright green hubcaps and a beach scene on its flank was born in Ghana his motherÍ¢‘„‘s homeland and raised in Nigeria his fatherÍ¢‘„‘s. On weekdays he parks in front of the Nigerian Consulate offering the likes of gizdodo chicken gizzards folded with caramelized plantains; asun dark smoky goat meat sifted with pulverized Scotch bonnets; and ayamase a chunky stew loaded with beef tripe and flagrantly rubbery curls of cow skin.
Le Coucou,New York,SoHo,At Daniel RoseÍ¢‘„‘s first restaurant in New York the cooking is informed by old-school traditions focuses on animal parts and revolves around glossy spoon-coating cream- and butter-reinforced sauces.
Sushi on Jones,New York,NoHo,This tiny no-frills open-air sushi bar is one of five kiosks in the Bowery Market food court on a lot once home to an auto-repair shop. Guests are given 30 minutes to dine; the clock starts at reservation time. This might seem ruthless but the price is kind: $50 for 12 pieces of beautifully fresh fish. The menu reads like a classic-rock playlist Í¢‘„‘î hamachi salmon tuna Í¢‘„‘î but there are surprises like scallop with smoky black salt and uni draped over seared wagyushu beef.
The Beatrice Inn,Manhattan,West Village,ItÍ¢‘„‘s called a chophouse but the Beatrice Inn is not a place for cautious eaters seeking refuge from the unknown. The menu almost entirely devoted to meat is an opportunity to take chances and eat with abandon.
Great Northern Food Hall,New York,Midtown East,ThereÍ¢‘„‘s something utopian about the notion that even a hasty inconsequential meal gobbled on a train or at a desk can be Í¢‘„‘î should be Í¢‘„‘î fresh and good. ThatÍ¢‘„‘s the mission of this impeccably polished food hall opened in Grand Central Terminal by the Danish restaurateur Claus Meyer a founder of Noma in Copenhagen and a prime mover in defining New Nordic cuisine. Almost every bite here is vivid comforting and at times even profound.
Karasu,New York,Fort Greene,Karasu is a speakeasy behind the back wall of a corner tavern. The first surprising thing about the food is that there is any. The second is that itÍ¢‘„‘s so polished and considered.
Zadie's Oyster Room,New York,East Village,Zadie's is devoted to the oyster in all its edible forms: raw of course but also baked broiled poached in a cream-sherry sauce even pickled.
Pondicheri,New York,NoMad,There isnÍ¢‘„‘t another restaurant in the city quite like Pondicheri where from breakast through dinner the flavors of India are imported into American daily life.
The Chinese Club,Brooklyn,Williamsburg,The Chinese Club looks like a straightforwardly (if self-consciously kitschy) Chinese restaurant. But the food is as Chinese as General TsoÍ¢‘„‘s chicken Í¢‘„‘î diaspora cuisine filtered through another nationÍ¢‘„‘s consciousness in this case IndiaÍ¢‘„‘s. This means Chinese five-spice dusted alongside Indian chaat masala. and liberal slugs of soy and ketchup. One menu item comes with the warning Í¢‘„‘ñNot what you think\u201d and this could apply to almost every dish in ways that sometimes charm and sometimes baffle. These may be dishes that require the halo of nostalgia.
Carla HallÍ¢‘„‘s Southern Kitchen,Brooklyn,Columbia Street Waterfront District,In a small casual corner spot Carla Hall a host of Í¢‘„‘ñThe Chew\u201d pays tribute to the menacingly spicy fried chicken of PrinceÍ¢‘„‘s and other places in Nashville.
Joy Luck Palace,New York,Chinatown,Every day hundreds of dumplings buns dense turnip cakes slippery cheong fun and plates of tripe and chicken feet are wheeled around a dining room that would dwarf some nationsÍ¢‘„‘ airports. ItÍ¢‘„‘s a wonder that anything makes it unsnatched to the far side of the room but somehow the dim-sum cart ladies manage it like Jesus multiplying the loaves and fishes. Much of the food Í¢‘„‘î classics like stuffed bitter melon alongside faddishly cute pig-shaped custard buns Í¢‘„‘î is good if not transcendent and the range is thrilling. Expect a long wait and mayhem.
Sauvage,Brooklyn,Greenpoint,At its best Sauvage seems to be on to something exciting a combination of European kitchen discipline and a gut instinct for meeting the appetite head on.
Tong Sam Gyup Goo Yi,Queens,Flushing,In Korean pork belly is called samgyupsal or three-layer flesh a name at once poetic and literal. At this barbecue restaurant itÍ¢‘„‘s marinated for three days in doenjang (fermented soybean paste) which deepens the porkÍ¢‘„‘s natural sweetness without eclipsing it. The gleaming black grill plate on each table mimics the lid of a traditional Korean cauldron allowing the porkÍ¢‘„‘s drippings to run down into the wreath of bean sprouts kimchi and garlic cloves snapping on the hot iron below.
2nd City,New York,West Village,At this Filipino-leaning taqueria the chef Jordan Andino turns lumpia wrappers into chips for dunking in suka (spiced vinegar his grandmotherÍ¢‘„‘s recipe); anoints tacos with sinigang a tangy tamarind soup; and otherwise makes what he calls Í¢‘„‘ñAmAsian\u201d or American-Asian food Í¢‘„‘î more general than specific. The restaurant feels like an extension of his exuberant personality: Í¢‘„‘ñHours of Awesomeness\u201d are posted on the window the staff wear aloha shirts and menu items are written on skateboards the chefÍ¢‘„‘s primary mode of transportation.
GÍ—‘_nter Seeger NY,New York,West Village,GÍ—‘_nter Seeger who made his name in Atlanta in the 1990s and 2000s is a deeply expressive chef Í¢‘„‘î expressive of the season and of his own focused disciplined style. When youÍ¢‘„‘re surprised by his cooking itÍ¢‘„‘s because the voice of the ingredients is coming through more clearly than youÍ¢‘„‘re used to.
Swell Dive,Brooklyn,Bedford Stuyvesant,Swell Dive unites Filipino and Tex-Mex the heritages of the owners Dennis Mendoza born in Quezon City outside Manila and Autumn Stanford from Austin Tex. The Tex-Mex side is more distinct with flour tortillas made daily by hand and queso fervent with cumin and Hatch green chiles. Filipino sisig traditionally a hash of pig head is here made with more approachable pork butt and wonderfully smoky if lacking the sting of citrus. Diners eat in small booths backed by wood peaked-roof frames in weathered tropical colors evoking cabanas.
Hao Noodle and Tea by Madam ZhuÍ¢‘„‘s Kitchen,New York,Greenwich Village,An energetic entrepreneur named Zhu Rong who owns restaurants in four cities around China recently expanded her territory to Greenwich Village. Ms. Rong brought along a pair of chefs whose skillful manipulation of bubbling oil steam and smoking-hot woks is evident in almost everything they cook invoking traditions from Beijing Shanghai and Chongqing.
Woodside Cafe,Queens,Woodside,Woodside Cafe was once a mostly Italian partly Nepalese restaurant opened by a native of Kathmandu who spent 14 years cooking Italian food on the Upper East Side. Now the only trace of the Mediterranean is a pink sauce of tomatoes and heavy cream ladled over momos Himalayan dumplings. The rest of the menu is true to the roof of the world: gossamer flakes of beaten rice; small whole fish deep-fried and meant to be eaten bones and all; and rice-flour crepes under a rubble of meat which some may consider an improvement on pizza.
Cassia,Santa Monica,Santa Monica Calif.,One of the most appealing things about Cassia is its pointed lack of interest in being confrontational. The restaurant goes out of its way to be accommodating without doing too much violence to the various Asian cuisines (Vietnamese in particular) that inspire much of the menu.
Tsion Cafe,New York,Harlem,Beejhy Barhany the chef was born in northern Ethiopia into a community of Beta Israel as Ethiopian Jews are known. When she was 4 her family fled on foot to Sudan and eventually made its way to Israel. Her menu can read like a biography: eggs scrambled with lox over injera the sour springy Ethiopian flatbread perforated like coral; challah French toast spiked with awaze a meld of earthy-hot berbere and tej Ethiopian honey wine.
Dizengoff,New York,Chelsea,An outpost of an acclaimed Philadelphia hummus counter Dizengoff offers pita straight out of the oven swollen and chewy at the edges with pocks of scorch and hummus made every hour and a half. The genius lies in the ever-changing toppings which may include ground lamb in burnished nubs under a shatter of almonds or cabbage gone louche among cherry tomatoes and amba a tart-hot mango pickle with a bitter pang of fenugreek.
Gyro96,New York,East Harlem,At this 85-square-foot falafel shop steps from the 96th Street subway station Waled Haredy a native of Egypt offers gyro at street-cart prices and makes falafel to order from his motherÍ¢‘„‘s recipe which belonged to her mother and her grandmother before her. All are best eaten on the spot and chased with karkade iced tea scarlet from hibiscus blossoms soaked overnight with the faintest drip of honey so it still tastes like medicine.
Bolivian Llama Party,New York,Midtown,This stand run by three brothers with roots in Cochabamba Bolivia specializes in salteÍ—‘±as which must not be mistaken for empanadas. The dough is sweet and thick as chewy as an underbaked cookie. Most important it is filled with a soupy stew cooked for days and lush with broken-down cowÍ¢‘„‘s foot that threatens to gush at first bite. It is as satisfyingly sweet-and-salty as someone up at 2 a.m. and starving would wish.
Bohemian Spirit,New York,Yorkville,At this Czech restaurant on the ground floor of the 120-year-old Bohemian National Hall the mission is nostalgic nourishment. This means sweet-sour red cabbage cheese fried like schnitzel and pale floppy bread dumplings in a sea of heavy cream Í¢‘„‘î beer-hall food served by no-nonsense waitresses in a lofty room with herringbone floors winged pendant lights and walls papered with portraits of Czech icons.
Gramercy Tavern,New York,Flatiron,The enduring appeal of Gramercy Tavern transcends individual elements like atmosphere menu and even service. It springs from a sense of safety and reassurance that is kept vital by acts of imagination.
Olmsted,Brooklyn,Prospect Heights,Not much about the dining room sets Olmsted apart from any number of other new places to eat. But the quail coop and crayfish tub in the backyard and the thoughtful inventive food coming out of the tiny kitchen tell you that hidden inside this simple and affordable neighborhood restaurant is another more unusual one waiting to get out.
Agern,New York,Midtown East,Agern feels like a quiet harbor away from the eddies and currents of Grand Central Terminal. In the modern Scandinavian dining room pale wood charcoal seat cushions and wall tiles in mossy Grand Central green create a calming mood. The owner the Danish restaurateur Claus Meyer has imported the New Nordic cooking style he helped found part of which demands seeking out forgotten or overlooked ingredients from nearby. Buying food raised around New York Agern treats the city as another Scandinavian capital: Oslo-on-Hudson.
DawaÍ¢‘„‘s,Queens,Woodside,Dawa Bhuti a young immigrant of Tibetan descent cooks alongside her father Ngodup Gyaltsen. The front side of the menu devoted to brunch dishes of almost Californian lightness is hers; the thrill is the hidden tracks listed on the back as Í¢‘„‘ñethnic plates\u201d Í¢‘„‘î Mr. GyaltsenÍ¢‘„‘s contribution from the hometown he had to leave behind.
Pasquale Jones,New York,Little Italy,The menu flits from pizza to pasta to the inevitable small plates to a rib-eye for two; most of the food is cooked in wood-burning ovens; and the noteworthy wine list roams beyond Italy and offers bottles that used to be considered too good for a pizza parlor.
Beach Bistro 96,Queens,The Rockaways,Carlos Vallera who grew up in the Brazilian port town Santos opened this low-slung sea shack a block from Rockaway Beach after another life as a pro surfer and model. The menu is modest and mostly snacks like a chewy moon-white crepe of tapioca pearls and pÍ—‘£o de queijo Brazilian cousins to French gougÍ—‘Îres barely-there puffs like held breaths with implosions at the center. Banana trees crowd the wallpaper and a surfboard leans in a corner although not one of Mr. ValleraÍ¢‘„‘s: Those belong to the waves.
Burma Noodle Bar,Brooklyn,Sunset Park,Eugene Saw the son of Burmese immigrants started out selling laphet thoke (fermented-tea-leaf salad) and sugarcane juice hand-cranked on an iron press at Smorgasburg. At his makeshift stand in the Industry City Food Hall he offers samusas Í¢‘„‘î flatter and daintier than Indian samosas Í¢‘„‘î and three bowls of noodles each better than the last no matter what order you eat them in.
Burmese Bites,Queens,Corona,For nearly two decades the only place to find Myo Lin ThwayÍ¢‘„‘s palata (also known more poetically as hundred-layer bread) was the once-a-year Myanmar Baptist Church Fun Fair in Briarwood Queens. Finally Mr. Thway who works by day in the diamond district started branching out from church fund-raisers to street fairs under the banner Burmese Bites. On Saturdays at the Queens International Night Market he serves just three dishes at $5 each; they make you wish he cooked every night year-round.
Mimi,New York,Greenwich Village,ItÍ¢‘„‘s an updated version of the small French restaurant everybody dreams of finding in the Village. The kitchen is small and still figuring things out but it has a clear vision of French food as a celebration of appetite an occasion to eat with joy and lust.
Nix,New York,Greenwich Village,Liberated from the ideologies of vegetarianism Nix is free to pursue the hedonic values of vegetables.
Phil-Am Kusina,Staten Island,Rosebank,This Filipino restaurant on the North Shore of Staten Island is run by Manny Imperial a young chef who started working at age 5 at his parentsÍ¢‘„‘ grocery down the street. Portions are generous prices kind and the menu mostly reassuring to those unfamiliar with the cuisine. At times the cooking can seem distracted Í¢‘„‘î Mr. Imperial also manages the grocery and a food truck Í¢‘„‘î but his kaldereta a dark tomato stew of goat shank long braised with manzanilla olives and liver pÍ—‘¢tÍ—‘© is beautiful. 
FreekÍ¢‘„‘s Mill,Brooklyn,Gowanus,FreekÍ¢‘„‘s Mill looks not very different from other young ingredient-minded Brooklyn restaurants. But the wine list is wonderfully eccentric heavily weighted with chenin blanc and gamay. These wines are flexible wrapping themselves around whatever you happen to be eating. This is lucky because so many things on Chad ShanerÍ¢‘„‘s menu are worth trying.
The Crabby Shack,Brooklyn,Crown Heights,At this airy temple to crab framed in white and sea blue there are no whole crabs in buckets no butcher paper on the tables. But almost everything on the menu is a tribute to the crustacean: legs and claws steamed given a bath in beer and Old Bay and presented in a plastic bag with an alchemy of butter and garlic; merus meat from the fattest part of the leg crowded into a MartinÍ¢‘„‘s potato roll or stacked with bacon and avocado on Texas toast. Names of people who contributed funds to the opening of the restaurant are painted by the front door with a note of gratitude: Í¢‘„‘ñThe greatest gift of life is friendship.\u201d
District Saigon,New York,Astoria,At this restaurant run by a Vietnamese-born father and his American-raised son the pho is clear but lush on the tongue delicate and substantial at once. Its depth is something of a surprise given other offerings that seem slightly canted to please American palates favoring the caramel that underlies many Vietnamese dishes. Still the kitchen is attentive to ingredients and the space a former 99-cent store is a beautiful sprawl of live-edge wood tables with a mantra on the back wall which translates: Í¢‘„‘ñItÍ¢‘„‘s great to be together.\u201d
GrÍ—‘_nauer Bistro,New York,Upper East Side,Although it opened in early March it might have been frying Wiener schnitzel and simmering tafelspitz on the corner of First Avenue and 82nd Street for decades.
Caridad China,Brooklyn,Williamsburg,At this restaurant on BrooklynÍ¢‘„‘s Avenue of Puerto Rico Billy Li a native of Guangdong China who spent most of his life in Puerto Rico crushes plantains in a mortar then heaves shrimp into a giant wok. As at other Chino Latino restaurants in New York City no cross-pollination of seasonings is allowed only congenial cohabitation on the table. The Chinese dishes are truer to the Chinese restaurants of 1980s America than to China which means everything has a slightly caramel edge as if Americans were children in constant need of dessert. Somehow this doesnÍ¢‘„‘t feel like scorn; it feels like kindness.
Le Coq Rico,New York,Flatiron,A branch of a Parisian Í¢‘„‘ñbistro for beautiful birds\u201d founded by the chef Antoine Westermann Le Coq Rico is the perfect place to take people who believe they can make a better roast chicken at home.
B &amp; K French Cuisine,New York,Harlem,Benjamin Baccari Kebe the owner and chef of this tiny Harlem storefront began his life in the kitchen at the age of 15 at Restaurant Alain Ducasse at the Plaza AthÍ—‘©nÍ—‘©e Paris. He brings classical French technique to a simple gently priced menu braising beef for four to five hours just for a sandwich and making fish and chips with a batter so buoyant it looks like armored air.
La Sirena,New York,Chelsea,La Sirena has two dining rooms connected by a bar with the approximate dimensions of a jet runway. It's so large that somebody is always on the move. That perpetual motion supplies a lot of La SirenaÍ¢‘„‘s energy; the rest comes from the dressy trattoria cooking.
Mr. DonahueÍ¢‘„‘s,New York,Nolita,Mr. DonahueÍ¢‘„‘s summons up a lost world of roast beef honest-to-goodness gravy side dishes that sit in their own wells on sectioned plates and an atmosphere that seems unpremeditated.
Nabaya,Bronx,Melrose,At this West African restaurant run by a native of Guinea alongside cooks from Ivory Coast and Senegal the menu is best understood as a wish list. Only a few dishes are ever available but they are worth it: by day stews briny with smoked fish and crawfish powder; by night large single-minded plates of meat needled with Scotch bonnets. The facade may be lit up in neon but the dining room is drowsy.
Ruffian Wine Bar &amp; ChefÍ¢‘„‘s Table,New York,East Village,The scope of the wine list and the inventiveness of the cooking are among the more impressive feats pulled off by this narrow sliver of a wine bar.
